ID	TCGA-CN-5361	TCGA-CR-7371	TCGA-CV-6962	TCGA-CN-6992	TCGA-D6-A74Q	TCGA-BA-6870	TCGA-CV-5430	TCGA-CN-A497	TCGA-CV-5978	TCGA-D6-6826	TCGA-UF-A7JJ	TCGA-CR-7399	TCGA-CN-A63T	TCGA-D6-6517	TCGA-CN-4727	TCGA-CV-6935	TCGA-CR-7370	TCGA-CV-5444	TCGA-DQ-5629	TCGA-CN-A63U	TCGA-KU-A66S	TCGA-CV-7242	TCGA-CN-A6V3	TCGA-CV-5435	TCGA-BA-4078	TCGA-CN-6997	TCGA-D6-A6EK	TCGA-CR-7374	TCGA-CV-7177	TCGA-CV-7415	TCGA-CV-5443	TCGA-TN-A7HJ	TCGA-CV-7101	TCGA-CN-6012	TCGA-UF-A7J9	TCGA-CV-5432	TCGA-BA-6869	TCGA-QK-AA3J	TCGA-BA-4076	TCGA-QK-A8ZB	TCGA-HD-7229	TCGA-CN-4722	TCGA-UF-A7JK	TCGA-F7-A622	TCGA-CN-A641	TCGA-UF-A71D	TCGA-CV-A45Z	TCGA-CV-7421	TCGA-CN-6010	TCGA-CV-7248	TCGA-CV-7430	TCGA-CN-5360	TCGA-CN-5356	TCGA-CN-6021	TCGA-CN-4723	TCGA-CV-5441	TCGA-CV-7245	TCGA-CN-4739	TCGA-F7-A623	TCGA-CV-7089	TCGA-CR-7364	TCGA-CV-5431	TCGA-F7-7848	TCGA-CR-7389	TCGA-CV-5434	TCGA-CN-6023	TCGA-CV-A45Y	TCGA-D6-A6ES	TCGA-CV-7437	TCGA-CV-A461	TCGA-CV-7418	TCGA-CN-5355	TCGA-CV-7424	TCGA-CN-4735	TCGA-BB-4217	TCGA-CV-7433	TCGA-CV-A460	TCGA-UF-A7JF	TCGA-CR-7388	TCGA-BA-A6DI	TCGA-QK-A8Z8	TCGA-D6-6824	TCGA-CV-7410	TCGA-CN-4738	TCGA-BA-A6DA	TCGA-CN-A49B	TCGA-UF-A7JH	TCGA-T3-A92M	TCGA-CV-7440	TCGA-CV-7261	TCGA-BA-5555	TCGA-CN-A63W	TCGA-CN-6989	TCGA-CV-7247	TCGA-CV-7422	TCGA-CR-7398	TCGA-CV-7250	TCGA-BA-6868	TCGA-UF-A718	TCGA-CN-6022	TCGA-CR-6474	TCGA-D6-8568	TCGA-D6-A6EQ	TCGA-CV-A45W	TCGA-CV-A6K1	TCGA-F7-A50I	TCGA-F7-8298	TCGA-CR-7402	TCGA-CN-5363	TCGA-CV-5440	TCGA-CN-6988
CD1D	1.62198660830843	1.99644256422463	1.52334297089584	2.39539186559772	1.40030802164824	1.8348671961197	3.24069247319444	1.51989129347522	1.84387023459175	1.85392835568177	2.17344061130637	1.89481489485606	1.40846536645839	2.11012418152688	1.30793274112316	1.29541315261408	2.20555676487446	1.93127225647341	1.85707779810619	1.36846875213568	1.90707419101564	1.90751827148115	1.54712582571768	1.42681396306996	1.7382771294514	1.63219175903596	1.59098801022939	1.99004983793188	1.25890152697236	1.43370341818662	2.39254541507258	1.55899264675271	2.23028271065276	1.74511922836994	1.52078419103439	1.40281198930913	1.33797972699575	1.37108614463254	1.41633736905126	1.89804264490488	1.25049203501905	1.54551169412191	1.20061981864532	2.61841305751228	1.25777514024709	1.30834701323314	1.7267263916554	1.68438415233272	1.6264655817484	2.53241180794921	1.25237792583842	2.41289472049214	1.61220074164264	1.41982404498844	2.30595169582524	1.35200888914121	1.20709178437338	1.87911069138621	1.73854528076286	1.32080508464785	1.40547453917052	1.58278671484927	2.52389442197352	1.78237503582802	1.9059727767801	2.33689289604714	2.46781198135268	1.33427307453252	1.37718695799692	1.64166520707034	2.33246236825444	1.75053649930253	2.05139169449782	2.06706777707794	2.4908010843454	2.04042754920189	2.2236911194621	2.15369563413298	1.95022098013133	1.5933575935666	1.27777396548887	2.3483906376369	2.72292725949778	1.96881650795804	1.22079499642502	1.74829980825543	1.92352988311315	3.00446980248108	1.55655529261237	1.55117275969566	1.66787578346075	1.22682742346833	2.02261010438135	1.42074041898195	1.71000979983152	1.67086450709886	1.4482190783951	2.69252059903502	1.49280467310482	3.33039487071608	1.81262289174737	1.68142708021361	1.58055850143425	2.90307155101341	1.62001530421223	1.70488321500585	1.60516353589301	1.55079860733678	1.48232238158326	1.4681371834106	1.25722848950642
CTSL	7.39960492834726	7.60599004814255	7.01323543248946	7.70361237326132	7.01754562371291	7.00054437948571	6.93355469032062	6.53289062377679	8.51014386207224	7.97379453779055	8.06545942909903	7.4148926103409	7.86236716259366	7.15475925151705	5.67039331906536	6.79422794782739	6.97278215060383	7.56789635314176	5.99254631291617	4.91683877945012	6.19644940419896	6.76843234846926	7.00203443310916	5.90621681647062	6.97830584057581	7.72976078764574	6.79526437766676	6.43175287425579	7.08672052297069	7.7042213713426	7.42319733555239	6.38556300310587	7.06070538818767	7.24506562660021	7.67381062922284	6.4636933354818	5.7865220740979	6.11339362987141	7.51351863915618	6.6577091845668	7.89092784615978	6.59976906575877	6.91696129354382	8.53421760773247	6.16021971430426	5.41830672853478	8.02424559134906	7.26931062001269	6.75450180494963	8.19813155440825	6.90394383294789	7.72555522983176	6.25642816416796	6.47897841253382	8.11038162200658	5.33417062137092	6.78412622374869	6.04218411961977	8.0121588162227	8.29093145413695	6.45657985777322	7.77278547177882	5.85106809434924	7.62004673023899	8.13158177773339	7.89809762027339	7.54863631522621	8.01705972763365	6.52493600459577	7.10575334087257	7.92269214118803	7.3458720146094	7.48826055218416	7.77028717794086	6.89634652729679	8.23916506504309	7.50988851426314	7.56316534589847	7.86059912721411	7.65922037014124	6.5935118575961	8.09707116706486	7.58744413392153	7.93177398239721	7.74429868347305	7.8301039376166	7.27162184316737	7.3598274105678	5.89439236242289	6.72139127570544	7.28805011594066	8.43181086719248	9.08532462865257	6.18128495205947	6.81174193611086	6.92959678985637	6.26544533989407	7.4569191278373	7.3222449603151	8.0786863929561	7.38116730381089	7.38600397036844	8.16989768532451	7.60810602747794	7.85945009562254	7.99197213576892	8.2595044357455	6.04591259983804	7.83233879753068	5.6633271393258	5.99825035767519
FCER1G	6.27994806740366	6.65540021376082	5.08956861970216	6.02497611843901	5.85617500047847	5.39571766612781	6.49260368647382	5.54524942816305	8.13431340747921	7.70345000888126	7.46532935539028	8.16645076282645	7.81951848277663	6.15468861948628	4.72265713896974	5.84825570935567	6.29316224081834	7.74588020987258	4.64162815403603	4.48521565791357	6.26117747419066	5.98544997349501	6.10194998130112	5.10296419529908	6.62862834180517	5.74350207410525	5.78682909459762	5.56450250828362	5.87141148743111	7.01174931591155	8.16436747674365	4.89156249852062	6.63505919943717	6.99273705623536	6.92510437908091	5.74768045916485	4.9303345180146	5.0317062645072	4.44172265060847	5.94818053994053	5.96935331001198	4.55928556598471	3.22171975287664	5.34923642201607	5.27788205134582	5.04482349267119	6.84596188275393	6.0714195134974	5.70085186702862	6.51940989622619	4.76730515404833	7.49125150129372	5.22446492748818	5.24826811299716	6.64417312461602	5.38455062216664	4.87368735403716	5.94082964198224	5.73636245022576	5.78785741660764	5.5994090036482	7.51507344721484	6.32035896129872	6.09531009168033	7.62203482080844	7.12635979831869	7.18711077012479	4.44135379296593	5.77454150823651	7.69235028235283	6.73326523999937	5.50797657319432	7.01242215861629	7.16933955803561	5.78575887668466	8.25336673386988	7.29184848982817	6.891848301549	6.6535937578043	5.02654541286732	4.60135120185326	7.53110222731443	7.02645947227693	6.75614130143965	5.20361679112757	7.92218464937904	7.008817249222	7.002907119846	5.85779201336847	6.42716361405174	6.23355234685416	5.6714377678344	7.8918303762049	4.7298794953382	6.66513828786888	6.57980053679102	5.89071504024161	4.11876132804019	6.20938942658635	7.4880158231503	6.77555565838503	6.28611491328837	6.39002945292505	7.5295856821476	5.78885957231373	5.82090123382464	6.08774207295992	5.46816046965435	7.16811122043483	5.32927747063814	4.31679191758013
HLA-A	10.3574331957632	10.5552792492271	9.49026999945534	10.3600917018881	11.0820605174364	12.0380781626553	10.7268993107909	10.4244404320921	10.7409163333727	10.637863350638	11.6943222757164	11.2268687048476	11.925666240258	10.8579173077924	11.1929033916741	9.40182108280185	10.5222543612192	11.7166135358661	10.5182444172183	11.9202508135324	11.9208518776194	11.3761939976536	11.3910975612434	11.4238921962856	10.5474175902348	10.4310441978439	11.8448549382275	11.473316473493	9.87670998064254	12.5602776512321	10.964793700464	10.7443132468981	10.4915503462796	10.5880384535115	10.5593527038215	10.1074600926478	11.3578948503658	11.4327356238989	11.0377112405278	10.7865238433681	12.5316839683433	10.0971265952781	11.6751997771493	11.2340060038582	9.81737431833723	10.4887761730445	11.7209414481892	10.1702714380037	10.5346343031641	10.878374743646	10.0985455470204	11.2125661775594	9.99332512777531	9.62558806115343	10.9527283626895	11.0409157746338	11.1210579749046	9.65878629564885	10.7768064265164	11.1265554993773	9.6965691966999	11.3844330599815	9.50075906140592	12.1118914727813	11.1704800680449	11.5121030561254	11.533712343594	11.4871111102226	11.3150395690497	12.5075757687745	9.35968871043604	10.7933931939396	11.2660077171004	10.0143278992445	10.8471165225701	12.1059814236285	10.6138700490637	10.6013484304872	10.8945675840997	11.5522178015432	11.3214466154065	11.4338353867622	12.178590527315	11.3041601524801	11.7403397461825	12.3295480568003	11.565141056014	11.3161381429827	10.7741611085533	10.8662762947184	12.1165193312514	11.966984446	11.081328839635	10.1691128873519	11.2216827430835	10.5800090786242	11.0970522336653	10.7927752453463	11.8057268237035	11.3011380374476	11.3367956533313	11.9561222125372	11.7345469052323	10.8546391887861	12.5938397037189	11.688761189426	11.3413388009693	11.1636953448901	12.2186288121631	11.3163625275239	9.21356368792794
HLA-B	12.1650181531773	11.0299186609176	9.20956285936652	10.4538390657166	11.233647716601	12.1126714636558	11.0328968599778	10.5776550935199	11.1259138151943	10.8343436894186	12.2360669183305	11.4469475765791	12.0518266052591	11.6376785930815	11.2747903431371	9.59541605719475	10.285704295279	12.1833028442937	10.3573945288402	11.5647768584509	11.3490535659448	11.9815816233915	12.4063416493158	10.9884134987621	10.3288524731443	10.4318693291567	12.1187619803572	11.3342202780149	9.93249917685084	12.8098242580696	11.0192740247967	10.5786904244232	10.9275471802262	11.1609078582316	10.6891604037828	10.2996082540076	11.4914632951976	11.7389592523564	10.9543851789964	10.9759492705832	12.8973715372791	9.67628938511107	11.4517719367659	11.6576659064333	10.1576652872614	10.2655911795168	11.546525472518	10.4696040216259	10.69001182186	11.082352939397	9.84931301604231	11.7191429085351	10.2318823881566	9.38520981571618	11.7587851243529	10.7987256879125	11.2197490322236	9.98284971745285	11.1396647931945	11.7780647725154	9.61832374889805	11.919102416541	9.62325263968612	12.2712426142472	11.2461070946474	11.6616881370614	11.7780016449768	11.2580650242283	11.0233924265335	12.6408274416818	10.6291574588605	10.8803163529794	11.2339114815465	11.6977437435288	11.1437580582656	12.3241593495921	11.1385093341735	10.8249795998916	11.1255729141931	11.4662542365968	11.3512201617456	11.7987966267345	12.6455128042036	11.7396065599372	11.1291813511928	12.5026541965695	11.8684624249062	12.3983394581945	11.1082121726037	11.1376958672298	12.190642394202	12.3074894200242	11.202439025546	10.2968255012731	10.7840611857976	10.1363399052867	11.0152261697842	12.0115535862437	11.8683075387217	11.2324355942448	11.6650542032629	12.0892067527227	11.8190233238952	11.4505764247476	11.5875662722198	11.880154115888	11.5527115435199	10.7864884777232	12.5265961130367	10.9963294225301	9.26464666727295
HLA-C	11.2866050936436	10.5773619471538	8.72146710422774	10.1455972811843	10.2927513077641	12.1201529450785	10.8714392618101	10.2359904384499	10.531589232766	10.3285493343644	11.4196025219903	10.6990669633763	11.5010141843312	10.8837405987416	10.3160687428347	9.68681515003568	10.2452818880794	11.5129312268992	9.55456155772835	10.5745481672248	10.9753999143889	10.9695870758982	11.3321344120779	10.2093399801087	10.07065737004	9.7020299632626	11.4138013209929	11.2186167982204	10.030557695037	11.7667369766198	10.7118416404471	10.2797248769494	10.4508121772423	10.5920278341246	10.1076606730113	9.31879440974603	11.1313998293945	11.4675613584911	10.3131916681867	10.3621180617027	11.9705037866453	9.83091361336765	10.9354941323593	11.3257609306431	9.44667375662795	10.1267000000882	10.943861889787	10.1323805769311	10.0660971600563	10.4060109557723	9.02159205694205	10.8691317745541	9.56298502200125	9.31408127311799	11.6105426117458	9.86859016613009	10.7058607081029	9.88697801789597	10.6698898557621	11.0185336697916	9.39097447609386	11.3939066037306	9.71124343333659	11.967338166332	10.7924101590463	10.5866559605061	11.1995191077553	10.1556416048538	10.798581092333	12.212999739561	9.81728938731578	10.2522547218303	10.5943630128646	10.7177320725593	10.7189269843001	12.1077214480957	10.3607136341473	10.4978882192971	11.2061241003058	11.0792912002906	10.0168101026214	11.3224428012015	11.8761327420286	10.5739833812967	10.8455653566153	11.8369056211603	11.2235886701341	11.3799371623179	10.7494635008893	10.3439595572701	11.6237808525174	11.5907804551137	10.9960474536011	9.73813501000235	10.1186776131615	9.75053274837853	10.7349066706796	11.1530543169196	10.7528097943169	10.3092923166457	10.5905681636068	10.7749767084868	10.8378510523506	11.070253918542	11.9878120034471	10.9621430793721	10.3686604815372	10.4971713176052	11.8619326074603	10.6791097137613	8.6997050650604
HLA-DMB	5.43258991537121	6.01855173391897	4.04363483636142	5.44073530215567	5.02279683456964	5.23160744346954	6.64529508527402	6.5888415624615	6.50171132857452	6.5043157666217	7.09341566085333	7.22190542868071	6.26392355263254	5.6453256224723	3.77121259351422	4.96680326070732	5.57241093237496	7.33548347896969	4.23489252354803	3.9916659907149	5.20964101740287	6.37383107273165	6.08546810579181	4.54108764781082	6.52564584652364	5.11748028706088	6.05061239041842	5.52780017344482	5.18426061002474	6.32115732217426	7.16473195645383	4.6543108073888	6.27685013302074	6.18916216964663	5.85567538428794	5.18702536393821	5.8157006255594	4.79455439110957	4.52105381798297	5.27666319328612	5.29066568640329	5.00622164051732	3.95944891762842	4.09368691952265	4.65185446121367	4.63310231353662	6.21534353988216	5.15995838554925	5.59754986437038	5.69138608580053	3.87286932503514	7.16742968216025	5.09488921829953	4.99185028206989	6.33561076613804	4.94289547147363	4.21761466849878	5.97992485588586	5.10157721509932	5.25623401561463	5.15550823864617	6.87766598433903	6.04850761168996	5.74603903970437	6.48962941621885	6.58253699599802	6.8386177367861	4.5907290999069	5.04339806453766	8.13279515806675	5.49595896907051	4.94032699406195	5.409099474001	7.76069214483267	6.83606464661396	7.21325874383624	6.57604144153542	6.23852332843367	6.07250695302745	5.97772399873743	7.55953858971804	7.0380389347418	7.77401195102913	6.26267890767289	4.69752214745104	6.82167902517751	6.21322223001587	6.81778910027498	4.95768450495431	5.5159722436553	7.34596876678363	5.20085065818328	6.67063409529058	4.20334000755022	5.5114869311452	4.9827671766537	4.97146379334286	3.95573743491467	5.72775011098202	6.35799479833288	5.51674179468232	5.38456573853743	6.07545663620406	6.51967209974666	4.97507822097266	5.50719451722122	5.16994584209769	7.80891434914198	6.94421953548719	4.80089457702279	4.50567077859108
HLA-DOB	2.91428971526155	2.35970841338919	1.28586364583616	1.62010122100051	3.05375056615016	3.48918894745015	2.51332418806044	2.89086197401767	2.51383825144718	2.14762014608398	3.45365659534655	2.90659300473543	2.52106202159425	2.82737389313586	2.19133638864906	2.70699695745861	2.18992155340877	2.1126271236463	2.56453057513451	3.80737384746338	3.25436069280369	3.48058839769039	3.60476107816787	1.83586303817994	2.15928925613731	1.6168415920045	2.57333515696707	3.24224069336158	2.35283983156416	3.20026663751552	3.03755153652792	2.51920470064443	3.16860367389326	2.84131749799228	1.79823071970395	2.14004333480507	2.41955011904446	2.55513731415458	1.64950705642363	3.11388810279566	2.63292120496682	2.29414985154468	2.66792267269911	1.94809750498888	2.65879367933104	2.09771144882383	2.90409581686471	2.01189255792084	2.59436135570993	3.21198120508137	1.36001990627993	3.12045584302928	2.88461039428351	2.25623559149985	2.33718099271737	1.69613797037327	1.79506145405546	3.09940426988694	2.10010817831303	2.11600116833097	2.54549832473357	3.76697026970777	2.63407672178853	3.3663545616636	2.00355191914396	2.80543930068794	3.75721655084625	1.39655301914102	1.78304539911021	3.48854403287989	2.39943023917415	2.20855373486605	4.02108659309036	3.57492506680988	4.3607281254877	2.62822352695691	2.69590787205073	3.94824783738811	3.47457495240097	2.05290687761545	4.25689162776439	2.52976917424204	4.86136482550067	2.09876514468989	2.11621777587773	1.85064476264267	2.42210453422547	2.97571718239553	2.26438249302447	2.03222924760624	3.14130304142609	3.31062395592904	1.82383268330568	1.81684585140184	2.07667464345723	2.33342447432358	3.16647362050859	2.09121732535207	1.89991167936397	1.75544129938786	2.19531256463688	2.19160376178362	2.45688759234986	4.41252952828597	2.08746709265111	3.14997711100669	2.39749413071996	4.53590649312799	1.86927652674474	2.283438672134	1.67563523004585
HLA-DQA1	5.88288588469301	5.75253958002029	1.69248674403569	4.23529638884282	3.65144396735183	3.2549194700901	7.1986717782508	5.19495213481534	5.48621265532245	6.57725785276776	7.84577075303198	9.33497556462384	5.80893333449065	5.75438585092559	0.803990416068628	5.30347294605396	5.17246967457742	7.59611715650943	1.25944683717446	1.23823624770872	2.62353890050457	5.9963454862902	6.85269238867616	4.96415012356058	5.39419900990559	4.54961535879861	5.39860195609371	4.90125078928771	4.9424461985532	5.63370771671649	8.3013048606863	2.32284898442769	5.64604171909371	5.88389672350379	5.42937059976678	3.07922385948173	3.42171967908313	3.43304963574217	2.97192844261924	4.21640873938794	4.04052285173529	3.95573017155037	1.37048859603169	0.844884542671347	3.23264888351158	3.39569919135208	6.75172661971573	2.70589799747325	4.61611701937671	5.75020812236692	0.866356730608594	8.10052719136994	3.66620342917879	3.81666047335916	6.18436520757436	4.09168947705873	2.88414493816301	5.15108580973837	4.24421535343738	3.00275311785652	5.61309744434277	8.74931693025339	5.12064938542272	5.91099502052748	4.48535946209573	7.45301527126835	5.62889262093833	2.48668855147688	5.34396422694889	9.46656653174954	5.1633224255093	4.42308234426286	4.31922451702402	9.90226361056344	7.36355567961431	7.03618330251315	6.5443880872548	6.10410597828491	6.78250630881845	4.75343010542035	7.67402230024324	7.31519266582562	8.69578599392212	5.82301088017145	3.0680207791319	6.14294391731414	6.46238681664543	7.40782907067974	4.15907839014061	5.5743734359966	6.66024089667058	2.6988877610962	7.66457471960379	2.10930130227115	4.98213879362136	4.54600162177009	3.53213310988765	1.62862161699955	5.01646002480985	6.36249928594784	3.70484827626998	4.45057729804896	4.54210098331955	6.39629620454207	1.98064226386253	3.83632305381876	4.22925828108424	10.6126012201541	5.74549415996362	3.30531931940085	2.20177463027646
HLA-DQB1	4.55177205643348	4.44125809480309	2.2838856495375	4.4364810670053	4.79692128205458	3.83052750221378	6.73089538758983	4.54721520603269	5.71308068427525	5.98754259513829	6.94022337025147	6.58436924855313	6.65247976037081	5.33029439773995	1.90663983916006	5.55953878905232	4.4196686345228	6.73295782431147	2.66683312531361	2.99643289882426	3.38884893177813	5.24785679205193	5.58587704286492	6.17824626628928	4.63473169011905	3.43854343829216	6.38858980741709	4.81749082099657	5.06475592531642	6.65002757291247	6.84871257779194	3.76112079371656	5.55307941885397	6.04904580553943	4.81838660491478	4.20816167643116	3.58994223571775	3.96231862397937	4.91020308882741	4.24947900790528	5.52514058546302	4.26783866605203	4.41938110228905	3.74650528826111	4.33874572088734	4.1848659505072	4.80164870104326	3.98350577097649	5.25270520520696	5.06509607530406	2.65494766317994	7.02308563327473	4.03798659489327	3.68996386322442	5.44980553281898	4.07425113352694	4.39434356154112	5.55142238711158	4.76937112244597	3.76612140840707	4.86304455655042	6.65373199998455	4.23883508821896	5.15389120954843	4.33868097032812	6.08099546479353	6.2640298590489	4.12618506405746	3.83606216492894	8.56535366844055	4.40250671619372	2.89078189615012	5.37565496263702	6.75354256905516	6.40858764866824	6.36154319242213	6.01493481308201	6.85997651885559	5.31714143192721	5.40030089643451	6.82579002722494	6.90776024096717	7.69821062434918	6.54951380370731	4.7942822540163	6.91083823093294	6.59211393177165	5.75186630070412	3.69166654556941	5.48058426586576	5.78193868401311	4.27209135735622	5.37781434491593	3.73444889818044	4.43780882066896	5.20417023733759	3.34894303324439	5.32984047713383	6.3369723145856	5.63182938699527	4.36402674761802	5.20066435987035	5.61632332967153	4.79565251736941	3.51183862497169	4.21380054894899	4.55864790561096	7.68523519900614	7.24890218139977	4.99282608962747	3.02249923682834
